Model Type,Tumor Sub-Compartment,DSC
singlet_0,Average,0.7439958373836555
singlet_0,ET,0.6837139133517808
singlet_0,TC,0.7133484464194944
singlet_0,WT,0.8349251523796946
singlet_1,Average,0.7453618172682913
singlet_1,ET,0.6907430077566664
singlet_1,TC,0.7143076996346159
singlet_1,WT,0.8310347444135929
singlet_2,Average,0.7422459520057015
singlet_2,ET,0.680600325904221
singlet_2,TC,0.7112661680044386
singlet_2,WT,0.8348713621084437
singlet_3,Average,0.7452552153260983
singlet_3,ET,0.697808248168362
singlet_3,TC,0.7107471295159464
singlet_3,WT,0.8272102682939856
singlet_4,Average,0.7421300944003903
singlet_4,ET,0.6875882567917782
singlet_4,TC,0.7110130915233615
singlet_4,WT,0.8277889348860319
triplet_0,Average,0.7490137000608906
triplet_0,ET,0.697808248168362
triplet_0,TC,0.7143076996346159
triplet_0,WT,0.8349251523796946
triplet_1,Average,0.7503563899131085
triplet_1,ET,0.697808248168362
triplet_1,TC,0.71833576919127
triplet_1,WT,0.8349251523796946
triplet_2,Average,0.7486939489891832
triplet_2,ET,0.697808248168362
triplet_2,TC,0.7133484464194944
triplet_2,WT,0.8349251523796946
triplet_3,Average,0.748995769970474
triplet_3,ET,0.697808248168362
triplet_3,TC,0.7143076996346159
triplet_3,WT,0.8348713621084437
triplet_4,Average,0.7466833042615029
triplet_4,ET,0.697808248168362
triplet_4,TC,0.7143076996346159
triplet_4,WT,0.8279339649815318
