triplet,metric,singlet_0,singlet_1,singlet_2,singlet_3,singlet_4
triplet_0,Average,5.9e-06,0.31,8.3e-12,0.21,1.8e-06
triplet_0,ET,3.2e-19,5.1e-06,3.7e-17,NA,2.3e-22
triplet_0,TC,0.35,NA,2.3e-06,0.37,0.76
triplet_0,WT,NA,0.34,0.026,0.61,0.00037
triplet_1,Average,5.5e-11,0.0047,1.6e-16,0.0017,1.1e-13
triplet_1,ET,3.2e-19,5.1e-06,3.7e-17,NA,2.3e-22
triplet_1,TC,0.012,0.013,2.4e-09,0.027,0.016
triplet_1,WT,NA,0.34,0.026,0.61,0.00037
triplet_2,Average,4.3e-19,0.97,7e-13,0.21,6.4e-06
triplet_2,ET,3.2e-19,5.1e-06,3.7e-17,NA,2.3e-22
triplet_2,TC,NA,0.35,2.6e-08,0.83,0.29
triplet_2,WT,NA,0.34,0.026,0.61,0.00037
triplet_3,Average,0.0021,0.57,1.9e-11,0.87,4.6e-05
triplet_3,ET,3.2e-19,5.1e-06,3.7e-17,NA,2.3e-22
triplet_3,TC,0.35,NA,2.3e-06,0.37,0.76
triplet_3,WT,0.026,0.00071,NA,0.24,0.88
triplet_4,Average,0.53,6.5e-08,0.16,0.0094,0.77
triplet_4,ET,3.2e-19,5.1e-06,3.7e-17,NA,2.3e-22
triplet_4,TC,0.35,NA,2.3e-06,0.37,0.76
triplet_4,WT,4e-26,7.7e-21,3.7e-24,4.9e-10,1.3e-12
