,Site ID,Cases
0,1,827
1,2,611
2,3,400
3,4,221
4,5,193
5,6,120
6,7,120
7,8,120
8,9,118
9,10,114
10,11,112
11,12,108
12,13,108
13,14,107
14,15,104
15,16,101
16,17,100
17,18,100
18,19,100
19,20,100
20,21,100
21,22,94
22,23,93
23,24,90
24,25,89
25,26,85
26,27,85
27,28,84
28,29,81
29,30,81
30,31,80
31,32,80
32,33,78
33,34,70
34,35,70
35,36,67
36,37,66
37,38,65
38,39,65
39,40,64
40,41,64
41,42,59
42,43,58
43,44,51
44,45,50
45,46,48
46,47,46
47,48,46
48,49,46
49,50,43
50,51,37
51,52,32
52,53,30
53,54,25
54,55,25
55,56,23
56,57,22
57,58,22
58,59,19
59,60,18
60,61,14
61,62,10
62,63,9
63,64,9
64,65,8
65,66,8
66,67,6
67,68,6
68,69,5
69,70,3
70,71,1
